custID,salesDate,prodID,amt,qty,shipMethod,shipCost,paymentMethod,orderMethod,orderDate,discounted
92,43005,0,0,0,,,,,0,0
90,100906,0,0,0,,,,,0,0
72,120110,0,0,0,,,,,0,0
76,51509,0,0,0,,,,,0,0
9,81310,0,0,0,,,,,0,0
87,82110,0,0,0,,,,,0,0
80,122210,0,0,0,,,,,0,0
80,11508,0,0,0,,,,,0,0
34,102709,0,0,0,,,,,0,0
83,72911,0,0,0,,,,,0,0
74,51311,1,2565.5,18,,,,,0,1
23,92205,0,0,0,,,,,0,0
9,51606,0,0,0,,,,,0,0
73,102807,0,0,0,,,,,0,0
87,110510,0,0,0,,,,,0,0
81,10606,0,0,0,,,,,0,0
73,111410,0,0,0,,,,,0,0
94,11310,0,0,0,,,,,0,0
93,31908,0,0,0,,,,,0,0
73,81311,1,329.9,2,,,,,0,0
76,42707,0,0,0,,,,,0,0
79,102508,0,0,0,,,,,0,0
93,82809,0,0,0,,,,,0,0
90,52409,0,0,0,,,,,0,0
72,81308,0,0,0,,,,,0,0
19,100306,0,0,0,,,,,0,0
84,40407,0,0,0,,,,,0,0
17,21507,1,2309.6,14,,,,,0,0
5,50808,0,0,0,,,,,0,0
78,101608,0,0,0,,,,,0,0
88,70810,0,0,0,,,,,0,0
27,41510,0,0,0,,,,,0,0
94,72309,0,0,0,,,,,0,0
88,92911,0,0,0,,,,,0,0
101,62706,1,824.9,5,,,,,0,0
77,10808,0,0,0,,,,,0,0
100,43011,0,0,0,,,,,0,0
79,22707,0,0,0,,,,,0,0
85,122110,0,0,0,,,,,0,0
40,30210,0,0,0,,,,,0,0
89,62705,0,0,0,,,,,0,0
86,52511,0,0,0,,,,,0,0
5,22307,1,3299.4,20,,,,,0,0
98,100608,0,0,0,,,,,0,0
87,91610,0,0,0,,,,,0,0
93,91507,1,2969.5,18,,,,,0,0
79,103110,0,0,0,,,,,0,0
88,41711,0,0,0,,,,,0,0
9,91705,0,0,0,,,,,0,0
27,60405,1,2969.5,18,,,,,0,0
89,40105,0,0,0,,,,,0,0
89,60310,0,0,0,,,,,0,0
74,110906,0,0,0,,,,,0,0
79,52611,0,0,0,,,,,0,0
75,31310,0,0,0,,,,,0,0
74,42210,0,0,0,,,,,0,0
27,62310,0,0,0,,,,,0,0
86,30310,0,0,0,,,,,0,0
23,121507,0,0,0,,,,,0,0
75,71709,0,0,0,,,,,0,0
91,80505,0,0,0,,,,,0,0
73,81007,0,0,0,,,,,0,0
100,92908,0,0,0,,,,,0,0
84,31606,0,0,0,,,,,0,0
23,42909,0,0,0,,,,,0,0
100,102211,0,0,0,,,,,0,0
17,51109,1,824.9,5,,,,,0,0
88,101211,0,0,0,,,,,0,0
77,20405,0,0,0,,,,,0,0
96,61705,1,2309.6,14,,,,,0,0
79,90409,0,0,0,,,,,0,0
19,61009,0,0,0,,,,,0,0
81,31607,0,0,0,,,,,0,0
87,71409,0,0,0,,,,,0,0
90,100510,0,0,0,,,,,0,0
94,110108,0,0,0,,,,,0,0
77,122505,0,0,0,,,,,0,0
34,111306,0,0,0,,,,,0,0
80,81207,0,0,0,,,,,0,0
23,110809,0,0,0,,,,,0,0
92,73010,0,0,0,,,,,0,0
34,121307,0,0,0,,,,,0,0
74,41008,0,0,0,,,,,0,0
93,111305,0,0,0,,,,,0,0
100,30305,0,0,0,,,,,0,0
78,60210,0,0,0,,,,,0,0
34,20308,0,0,0,,,,,0,0
95,111407,0,0,0,,,,,0,0
91,100406,0,0,0,,,,,0,0
82,120305,0,0,0,,,,,0,0
98,102605,0,0,0,,,,,0,0
79,70906,0,0,0,,,,,0,0
83,73008,0,0,0,,,,,0,0
27,10806,0,0,0,,,,,0,0
89,80108,0,0,0,,,,,0,0
27,20108,0,0,0,,,,,0,0
95,32007,0,0,0,,,,,0,0
72,61710,0,0,0,,,,,0,0
84,90508,0,0,0,,,,,0,0
100,40605,0,0,0,,,,,0,0
27,32709,0,0,0,,,,,0,0
23,121106,0,0,0,,,,,0,0
91,102911,0,0,0,,,,,0,0
77,121010,0,0,0,,,,,0,0
72,10705,0,0,0,,,,,0,0
79,51510,1,1154.8,7,,,,,0,0
27,32607,0,0,0,,,,,0,0
78,20409,0,0,0,,,,,0,0
100,92010,0,0,0,,,,,0,0
75,61208,1,2969.5,30,,,,,0,0
40,40606,0,0,0,,,,,0,0
90,53005,0,0,0,,,,,0,0
27,70807,1,2144.6,13,,,,,0,0
30,22405,0,0,0,,,,,0,0
81,101410,1,3134.4,19,,,,,0,0
95,112208,0,0,0,,,,,0,0
99,31910,0,0,0,,,,,0,0
72,21308,0,0,0,,,,,0,0
92,41007,0,0,0,,,,,0,0
89,71108,0,0,0,,,,,0,0
83,110606,0,0,0,,,,,0,0
89,91710,0,0,0,,,,,0,0
94,101807,0,0,0,,,,,0,0
92,101411,0,0,0,,,,,0,0
85,22709,0,0,0,,,,,0,0
5,20310,0,0,0,,,,,0,0
88,91806,0,0,0,,,,,0,0
79,50106,0,0,0,,,,,0,0
81,62107,0,0,0,,,,,0,0
27,121009,0,0,0,,,,,0,0
77,60707,1,1319.8,8,,,,,0,0
